"","Tsize","rep","R2","RMSE","TvsS","BSm","BTm"
"131",25,31,0.199220518248548,24.7473649483818,0.00855940849615441,-31.5628385457821,3.97192183942983
"132",25,32,0.239982363249283,26.4141717294341,0.000627967561170543,-46.5807476937729,1.72090039238209
"133",25,33,0.298515774330824,18.8365315014784,0.00121662514157229,-34.2070443833864,-3.11694681890372
"134",25,34,0.125824765205648,20.4085931276137,0.0268452994650168,-41.7955511320023,-24.2775315559158
"135",25,35,0.43297033708659,16.8278364270507,0.000740549537018237,-43.8569703748517,-11.3365496142878
"136",25,36,0.0134531253350553,20.972576723275,0.928475718991371,-16.424702587559,-15.4259407403158
"137",25,37,0.268412661849895,18.4246245807074,0.0206225469191174,-31.1607371953689,-10.2375262310966
"138",25,38,0.118742170188769,23.3397462665061,0.0805631096359788,-41.7020866221891,-21.7254562848463
"139",25,39,0.295315152576307,18.5769863377561,0.00221920899369184,-40.5952731517201,-10.5118883594017
"140",25,40,0.338262068990611,24.2155548682084,0.000157373473762963,-39.7958900787898,-0.480306070501827
"141",25,41,0.28801078724837,24.4111485655234,0.00287701438165408,-39.9546420987858,0.851513511260401
"142",25,42,0.443828088811828,23.8110611334099,4.03570710648008e-05,-39.3111071822194,10.8416968065773
"143",25,43,0.0824877210567291,23.849812197776,0.219070088409193,-32.7706302614105,-18.4992202419375
"144",25,44,0.138334329632909,23.8937534539879,0.00602367324482274,-36.0731448870907,-11.2382246589014
"145",25,45,0.339722554613093,19.0120775529663,0.00509636945710817,-41.9651998785241,-9.92407313945491
"146",25,46,0.245439347203807,22.0078858056101,0.0247979028017146,-33.2313118674318,-5.08814571808419
"147",25,47,0.265778992344812,25.6304023475253,0.000910052687746376,-36.6435042985973,9.18996729614483
"148",25,48,0.375590072360449,25.4380761338313,3.08934594727903e-05,-40.6401080989476,6.67864108101844
"149",25,49,0.184696110303587,19.6666555476418,0.0510191826042807,-35.3208331605031,-12.2223538126363
"150",25,50,0.0887140066550981,23.5438419861964,0.330487407694818,-22.7495722820437,-11.8957776071427
"151",25,51,0.431851235081375,21.1919074109245,0.00106831472769243,-29.9087159002478,8.68962182197529
"152",25,52,0.209738595665576,20.4916617753593,0.00374639760656893,-39.9516636040193,-11.0410430200186
"153",25,53,0.281956799350147,27.4306448348975,0.00207764753837737,-44.694963179988,-2.91385981858676
"154",25,54,0.336568634528961,22.2548275978845,0.00364134678688523,-42.1644635872543,-4.99027044004997
"155",25,55,0.368424535610834,18.0569702127654,0.00445515901965152,-44.0643480130553,-12.5063729418693
"156",25,56,0.409602600258035,19.8831795961431,0.000479117720100716,-44.9160792715865,-3.95808097499592
"157",25,57,0.364981306754371,20.0734151270808,0.00766476450295251,-36.018060765564,-6.07480507683338
"158",25,58,0.357250664001159,23.6288128695728,0.00658444116183583,-38.0843031143875,-3.17793926069821
"159",25,59,0.22325884897766,27.1866962376311,0.0857768813500862,-37.9951227903305,-13.2193983361105
